1;CLOVIS;783;903;10;Rouge
2;Iron man;630;647;12;Bleu
3;PATRIOTE;623;1007;7;Bleu
4;VULCAIN;541;526;10;Rouge
5;POTICHAT;504;500;11;Rouge
6;LA LOOZE;446;526;8;Rouge
7;BABYKILL;436;432;12;Rouge
8;Nanou;422;779;6;Bleu
9;ORANNOC;408;422;10;Rouge
10;MIFASOL;402;613;7;Rouge
11;god;388;485;8;Rouge
12;ARNL;379;813;6;Bleu
13;ANZAYMER;318;465;10;Rouge
14;SISIARNL;252;542;6;Bleu
15;LULU;247;916;4;Bleu
16;VALOUCHE;224;273;10;Bleu
17;TIMTIM;194;716;3;Bleu
18;FRINE;136;679;3;Rouge
19;MARJUAN;115;625;3;Bleu
20;THEKILER;108;679;3;Bleu
